"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MUNICIPAL","Municipal waste generated","1992","1992","TONNE","Tonnes","3","Thousands",,,12000,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2000","2000","TONNE","Tonnes","3","Thousands",,,13200,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2007","2007","TONNE","Tonnes","3","Thousands",,,12885.684,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2008","2008","TONNE","Tonnes","3","Thousands",,,13096.5,"E","Estimated value"
"AUS","Australia","MUNICIPAL","Municipal waste generated","2009","2009","TONNE","Tonnes","3","Thousands",,,13343.236,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,13560.506,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2011","2011","TONNE","Tonnes","3","Thousands",,,13472.495,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,13572.33,"E","Estimated value"
"AUS","Australia","MUNICIPAL","Municipal waste generated","2013","2013","TONNE","Tonnes","3","Thousands",,,13694.67,"E","Estimated value"
"AUS","Australia","MUNICIPAL","Municipal waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,13789.384,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2015","2015","TONNE","Tonnes","3","Thousands",,,13964.23,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,13019.29,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2017","2017","TONNE","Tonnes","3","Thousands",,,12605.342,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,12641.478,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2019","2019","TONNE","Tonnes","3","Thousands",,,12571.73,,
"AUS","Australia","HOUSEHOLD","Waste from households","1992","1992","TONNE","Tonnes","3","Thousands",,,7000,,
"AUS","Australia","HOUSEHOLD","Waste from households","2000","2000","TONNE","Tonnes","3","Thousands",,,7660,,
"AUS","Australia","HOUSEHOLD","Waste from households","2003","2003","TONNE","Tonnes","3","Thousands",,,8903,,
"AUS","Australia","HOUSEHOLD","Waste from households","2007","2007","TONNE","Tonnes","3","Thousands",,,12241.4,,
"AUS","Australia","HOUSEHOLD","Waste from households","2008","2008","TONNE","Tonnes","3","Thousands",,,12441.68,"E","Estimated value"
"AUS","Australia","HOUSEHOLD","Waste from households","2009","2009","TONNE","Tonnes","3","Thousands",,,12676.074,,
"AUS","Australia","HOUSEHOLD","Waste from households","2010","2010","TONNE","Tonnes","3","Thousands",,,12882.481,,
"AUS","Australia","HOUSEHOLD","Waste from households","2011","2011","TONNE","Tonnes","3","Thousands",,,12798.87,,
"AUS","Australia","HOUSEHOLD","Waste from households","2012","2012","TONNE","Tonnes","3","Thousands",,,12893.72,"E","Estimated value"
"AUS","Australia","HOUSEHOLD","Waste from households","2013","2013","TONNE","Tonnes","3","Thousands",,,13009.93,"E","Estimated value"
"AUS","Australia","HOUSEHOLD","Waste from households","2014","2014","TONNE","Tonnes","3","Thousands",,,13099.915,,
"AUS","Australia","HOUSEHOLD","Waste from households","2015","2015","TONNE","Tonnes","3","Thousands",,,13266.019,,
"AUS","Australia","HOUSEHOLD","Waste from households","2016","2016","TONNE","Tonnes","3","Thousands",,,12368.326,,
"AUS","Australia","HOUSEHOLD","Waste from households","2017","2017","TONNE","Tonnes","3","Thousands",,,11975.075,,
"AUS","Australia","HOUSEHOLD","Waste from households","2018","2018","TONNE","Tonnes","3","Thousands",,,12009.404,,
"AUS","Australia","HOUSEHOLD","Waste from households","2019","2019","TONNE","Tonnes","3","Thousands",,,11943.144,,
"AUS","Australia","TREATMENT","Municipal waste treated","2003","2003","TONNE","Tonnes","3","Thousands",,,8903,,
"AUS","Australia","TREATMENT","Municipal waste treated","2007","2007","TONNE","Tonnes","3","Thousands",,,11999.349,,
"AUS","Australia","TREATMENT","Municipal waste treated","2008","2008","TONNE","Tonnes","3","Thousands",,,12116.209,"E","Estimated value"
"AUS","Australia","TREATMENT","Municipal waste treated","2009","2009","TONNE","Tonnes","3","Thousands",,,12510.958,,
"AUS","Australia","TREATMENT","Municipal waste treated","2010","2010","TONNE","Tonnes","3","Thousands",,,12703.608,,
"AUS","Australia","TREATMENT","Municipal waste treated","2011","2011","TONNE","Tonnes","3","Thousands",,,12554.774,,
"AUS","Australia","TREATMENT","Municipal waste treated","2012","2012","TONNE","Tonnes","3","Thousands",,,12474.39,"E","Estimated value"
"AUS","Australia","TREATMENT","Municipal waste treated","2013","2013","TONNE","Tonnes","3","Thousands",,,12532.96,"E","Estimated value"
"AUS","Australia","TREATMENT","Municipal waste treated","2014","2014","TONNE","Tonnes","3","Thousands",,,12625.603,,
"AUS","Australia","TREATMENT","Municipal waste treated","2015","2015","TONNE","Tonnes","3","Thousands",,,12737.772,,
"AUS","Australia","TREATMENT","Municipal waste treated","2016","2016","TONNE","Tonnes","3","Thousands",,,11739.04,,
"AUS","Australia","TREATMENT","Municipal waste treated","2017","2017","TONNE","Tonnes","3","Thousands",,,11359.164,,
"AUS","Australia","TREATMENT","Municipal waste treated","2018","2018","TONNE","Tonnes","3","Thousands",,,11402.207,,
"AUS","Australia","TREATMENT","Municipal waste treated","2019","2019","TONNE","Tonnes","3","Thousands",,,11479.022,,
